Actual,Predicted
Unknown,Facility/Infrastructure Attack
Bombing/Explosion,Bombing/Explosion
Assassination,Assassination
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Assassination,Assassination
Bombing/Explosion,Bombing/Explosion
Assassination,Armed Assault
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Assassination,Assassination
Bombing/Explosion,Bombing/Explosion
Unknown,Unknown
Bombing/Explosion,Bombing/Explosion
Armed Assault,Assassination
Hostage Taking (Barricade Incident),Hostage Taking (Barricade Incident)
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Hostage Taking (Kidnapping),Hostage Taking (Kidnapping)
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Armed Assault,Armed Assault
Assassination,Assassination
Bombing/Explosion,Bombing/Explosion
Armed Assault,Armed Assault
Armed Assault,Armed Assault
Assassination,Assassination
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Armed Assault,Assassination
Assassination,Assassination
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Armed Assault,Facility/Infrastructure Attack
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Assassination,Bombing/Explosion
Armed Assault,Assassination
Armed Assault,Armed Assault
Hostage Taking (Barricade Incident),Armed Assault
Bombing/Explosion,Bombing/Explosion
Unknown,Hostage Taking (Kidnapping)
Bombing/Explosion,Bombing/Explosion
Assassination,Bombing/Explosion
Unknown,Unknown
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Assassination,Armed Assault
Facility/Infrastructure Attack,Armed Assault
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Assassination,Unknown
Facility/Infrastructure Attack,Armed Assault
Assassination,Armed Assault
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Assassination,Assassination
Unknown,Assassination
Assassination,Assassination
Bombing/Explosion,Bombing/Explosion
Armed Assault,Armed Assault
Hostage Taking (Kidnapping),Hostage Taking (Kidnapping)
Bombing/Explosion,Bombing/Explosion
Assassination,Assassination
Bombing/Explosion,Bombing/Explosion
Armed Assault,Armed Assault
Bombing/Explosion,Bombing/Explosion
Hostage Taking (Barricade Incident),Hostage Taking (Barricade Incident)
Hostage Taking (Kidnapping),Unknown
Bombing/Explosion,Bombing/Explosion
Assassination,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Assassination,Hostage Taking (Kidnapping)
Bombing/Explosion,Bombing/Explosion
Armed Assault,Facility/Infrastructure Attack
Assassination,Assassination
Armed Assault,Assassination
Bombing/Explosion,Bombing/Explosion
Assassination,Assassination
Assassination,Assassination
Assassination,Hostage Taking (Kidnapping)
Bombing/Explosion,Bombing/Explosion
Armed Assault,Armed Assault
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Facility/Infrastructure Attack,Facility/Infrastructure Attack
Armed Assault,Unknown
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
Bombing/Explosion,Bombing/Explosion
